UserID,Probability1
3,0.516
4,0.607
10,0.647
14,0.348
16,0.509
23,0.443
29,0.518
33,0.399
37,0.648
45,0.685
47,0.657
54,0.297
55,0.613
60,0.439
68,0.672
79,0.6
90,0.724
93,0.495
98,0.664
101,0.716
107,0.648
109,0.481
113,0.674
116,0.555
118,0.36
119,0.676
120,0.756
126,0.504
131,0.742
134,0.789
135,0.58
137,0.761
139,0.294
140,0.659
141,0.767
142,0.393
152,0.74
162,0.61
164,0.591
168,0.648
172,0.729
173,0.571
176,0.804
179,0.548
181,0.669
182,0.268
183,0.56
186,0.735
189,0.532
192,0.524
193,0.742
194,0.739
196,0.581
197,0.872
198,0.493
201,0.584
204,0.687
205,0.455
210,0.571
213,0.482
216,0.458
221,0.667
234,0.198
237,0.493
241,0.374
246,0.309
258,0.684
261,0.269
262,0.595
271,0.375
279,0.627
280,0.529
288,0.394
291,0.53
296,0.24
301,0.691
305,0.209
306,0.467
310,0.561
313,0.777
315,0.67
317,0.675
318,0.734
319,0.548
321,0.618
323,0.43
324,0.553
325,0.71
326,0.627
327,0.534
328,0.606
331,0.47
340,0.691
342,0.592
344,0.684
346,0.733
347,0.818
358,0.22
368,0.239
369,0.575
382,0.349
383,0.81
384,0.468
385,0.609
386,0.739
392,0.417
396,0.518
397,0.458
399,0.564
400,0.795
402,0.475
404,0.538
405,0.354
410,0.343
412,0.411
415,0.486
416,0.612
418,0.608
419,0.554
421,0.245
422,0.629
424,0.664
437,0.815
440,0.644
442,0.709
443,0.425
447,0.517
448,0.603
449,0.638
453,0.572
465,0.493
467,0.719
468,0.332
470,0.295
472,0.449
476,0.438
484,0.702
486,0.714
487,0.479
492,0.761
494,0.549
495,0.611
503,0.617
505,0.793
514,0.32
516,0.62
518,0.57
521,0.327
523,0.554
529,0.199
531,0.594
533,0.578
534,0.418
536,0.533
545,0.694
549,0.813
553,0.666
555,0.546
561,0.622
562,0.745
563,0.722
567,0.348
569,0.29
570,0.245
575,0.711
577,0.65
579,0.514
581,0.457
582,0.574
583,0.271
590,0.322
598,0.545
600,0.653
603,0.709
604,0.692
606,0.544
619,0.691
621,0.517
622,0.729
623,0.272
627,0.726
633,0.699
636,0.77
639,0.548
643,0.669
653,0.302
654,0.827
660,0.786
681,0.566
685,0.682
691,0.557
696,0.597
698,0.296
699,0.793
700,0.648
703,0.605
705,0.668
707,0.757
708,0.577
711,0.545
712,0.73
716,0.333
719,0.653
722,0.603
724,0.371
727,0.359
730,0.63
736,0.625
743,0.701
753,0.701
755,0.332
765,0.712
774,0.629
775,0.354
778,0.652
784,0.55
788,0.713
789,0.371
791,0.499
797,0.402
798,0.261
800,0.785
802,0.208
807,0.381
810,0.837
811,0.384
820,0.705
821,0.518
822,0.658
823,0.652
824,0.844
826,0.121
828,0.539
831,0.318
832,0.191
833,0.36
834,0.397
837,0.611
838,0.704
841,0.756
843,0.595
844,0.37
850,0.702
853,0.641
855,0.341
856,0.533
860,0.269
864,0.282
868,0.567
875,0.438
876,0.215
877,0.727
879,0.481
889,0.666
890,0.519
894,0.24
896,0.557
897,0.666
904,0.242
905,0.646
907,0.367
909,0.28
913,0.463
925,0.391
926,0.458
927,0.58
928,0.366
931,0.585
932,0.741
934,0.385
935,0.351
939,0.379
941,0.534
942,0.218
947,0.533
948,0.397
950,0.521
951,0.464
958,0.441
959,0.682
960,0.699
966,0.456
975,0.643
985,0.759
992,0.302
993,0.289
994,0.221
995,0.313
998,0.617
1001,0.735
1009,0.289
1011,0.269
1012,0.594
1013,0.596
1014,0.351
1028,0.69
