UserID,Probability1
3,0.516
4,0.612
10,0.584
14,0.414
16,0.502
23,0.446
29,0.494
33,0.476
37,0.616
45,0.702
47,0.708
54,0.368
55,0.694
60,0.458
68,0.604
79,0.606
90,0.708
93,0.582
98,0.526
101,0.668
107,0.628
109,0.494
113,0.614
116,0.608
118,0.412
119,0.588
120,0.74
126,0.552
131,0.646
134,0.69
135,0.538
137,0.758
139,0.418
140,0.63
141,0.762
142,0.372
152,0.68
162,0.616
164,0.554
168,0.638
172,0.728
173,0.596
176,0.792
179,0.576
181,0.598
182,0.3
183,0.528
186,0.694
189,0.556
192,0.436
193,0.704
194,0.702
196,0.556
197,0.784
198,0.49
201,0.596
204,0.528
205,0.408
210,0.552
213,0.506
216,0.448
221,0.638
234,0.308
237,0.464
241,0.452
246,0.388
258,0.674
261,0.336
262,0.616
271,0.48
279,0.6
280,0.472
288,0.398
291,0.528
296,0.304
301,0.614
305,0.302
306,0.468
310,0.55
313,0.742
315,0.614
317,0.634
318,0.72
319,0.498
321,0.632
323,0.538
324,0.558
325,0.654
326,0.572
327,0.564
328,0.608
331,0.528
340,0.618
342,0.59
344,0.616
346,0.696
347,0.796
358,0.294
368,0.276
369,0.452
382,0.44
383,0.848
384,0.478
385,0.64
386,0.702
392,0.476
396,0.454
397,0.47
399,0.532
400,0.792
402,0.476
404,0.544
405,0.37
410,0.492
412,0.456
415,0.45
416,0.58
418,0.552
419,0.528
421,0.268
422,0.658
424,0.642
437,0.778
440,0.622
442,0.634
443,0.516
447,0.548
448,0.626
449,0.648
453,0.604
465,0.568
467,0.704
468,0.392
470,0.376
472,0.544
476,0.5
484,0.628
486,0.598
487,0.466
492,0.716
494,0.544
495,0.616
503,0.58
505,0.712
514,0.358
516,0.576
518,0.522
521,0.346
523,0.576
529,0.234
531,0.582
533,0.614
534,0.39
536,0.436
545,0.67
549,0.802
553,0.616
555,0.562
561,0.584
562,0.702
563,0.678
567,0.374
569,0.31
570,0.352
575,0.656
577,0.584
579,0.49
581,0.454
582,0.562
583,0.354
590,0.432
598,0.562
600,0.594
603,0.684
604,0.674
606,0.586
619,0.672
621,0.556
622,0.686
623,0.334
627,0.692
633,0.662
636,0.718
639,0.542
643,0.658
653,0.368
654,0.818
660,0.692
681,0.604
685,0.628
691,0.59
696,0.632
698,0.294
699,0.782
700,0.676
703,0.57
705,0.698
707,0.64
708,0.584
711,0.506
712,0.616
716,0.45
719,0.702
722,0.614
724,0.424
727,0.39
730,0.624
736,0.592
743,0.708
753,0.634
755,0.338
765,0.67
774,0.668
775,0.486
778,0.654
784,0.558
788,0.668
789,0.412
791,0.518
797,0.504
798,0.398
800,0.774
802,0.284
807,0.416
810,0.762
811,0.418
820,0.714
821,0.504
822,0.594
823,0.558
824,0.856
826,0.184
828,0.538
831,0.46
832,0.248
833,0.328
834,0.426
837,0.59
838,0.686
841,0.548
843,0.606
844,0.448
850,0.626
853,0.596
855,0.378
856,0.552
860,0.348
864,0.35
868,0.606
875,0.43
876,0.346
877,0.694
879,0.462
889,0.702
890,0.528
894,0.386
896,0.536
897,0.648
904,0.328
905,0.59
907,0.444
909,0.272
913,0.456
925,0.47
926,0.456
927,0.604
928,0.428
931,0.572
932,0.638
934,0.46
935,0.402
939,0.446
941,0.498
942,0.242
947,0.482
948,0.39
950,0.566
951,0.442
958,0.464
959,0.594
960,0.676
966,0.422
975,0.632
985,0.752
992,0.334
993,0.26
994,0.234
995,0.346
998,0.56
1001,0.748
1009,0.312
1011,0.414
1012,0.532
1013,0.606
1014,0.436
1028,0.69
1032,0.6
1033,0.838
1037,0.462
1051,0.556
1052,0.41
1055,0.564
1061,0.444
1067,0.582
1071,0.596
1073,0.662
1075,0.424
1077,0.39
1078,0.408
1081,0.512
1082,0.56
1088,0.768
1094,0.584
1100,0.522
1102,0.602
1103,0.38
1112,0.7
1114,0.706
1117,0.814
1118,0.598
1127,0.738
1130,0.742
1131,0.748
1132,0.594
1136,0.414
1139,0.59
1151,0.798
1152,0.71
1153,0.464
1155,0.708
1158,0.38
1161,0.702
1165,0.696
1166,0.456
1172,0.634
1173,0.444
1177,0.414
1178,0.546
1179,0.51
1180,0.294
1181,0.324
1182,0.716
1187,0.612
1190,0.75
1194,0.584
1197,0.48
1198,0.442
1203,0.48
1206,0.72
1208,0.56
1212,0.734
1214,0.764
1217,0.38
1220,0.604
1225,0.644
1232,0.596
1234,0.534
1241,0.554
1247,0.526
1250,0.482
1251,0.636
